;name;city;min_salary;max_salary;company;published_at;min_experience;max_experience;schedule;employment;description;conditions;requirement;responsibility;key_skills
5;Программист С++/Драйверист;Санкт-Петербург;100000.0;150000.0;Searchinform;2019-11-19T09:27:53+0300;3;6;Гибкий график;Полная занятость;Компания SearchInform являясь лидером на рынке корпоративных систем безопасности (DLP system) в РФ, расширяет штат и  объявляет конкурс на должность «Системный Программист»    Требования к соискателю:  Общий опыт программирования – не менее 5лет Владение языками С/С++. Ассемблер приветствуется Знание библиотек STL, BOOST Глубокое знание архитектуры операционных систем семейства Windows, внутренних механизмов работы Приветствуется знание недокументированных возможностей Windows Знание WinApi Владение технологиями написания драйверов под Windows в области фильтрации и перехвата дисковых и сетевых операций Навыки алгоритмической оптимизации кода    Обязанности:  Разработка библиотек, реализующих протоколы управления устройствами (C/C++, WinAPI, network) Разработка драйверов Windows    Мы предлагаем:  Официальное трудоустройство, соблюдение ТК РФ Конкурентоспособную заработную плату, стартовый уровень которой зависит от Вашего опыта и квалификации (оценивается по результатам рассмотрения резюме и удаленного тестового задания) Гибкий рабочий график чай, кофе, фрукты и минеральная вода в офисе ;  Официальное трудоустройство, соблюдение ТК РФ Конкурентоспособную заработную плату, стартовый уровень которой зависит от Вашего опыта и квалификации (оценивается по результатам рассмотрения резюме и удаленного тестового задания) Гибкий рабочий график чай, кофе, фрукты и минеральная вода в офисе ;Общий опыт программирования – не менее 5лет. Владение языками С/С++. Ассемблер приветствуется. Знание библиотек STL, BOOST. Глубокое знание архитектуры...;;
